date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
05:57:06	55116/55116	---M-Z	200	added ('OK')	text/html	date:Wed,%2001%20Jul%202020%2021:57:07%20GMT	http://gw2.voids.cn/doc/ascended_items/infusion_slot	Z:/Downloads/web/gw2/gw2.voids.cn/doc/ascended_items/infusion_slot.html	(from http://gw2.voids.cn/)
05:57:06	106915/106915	---M-Z	200	added ('OK')	text/html	date:Wed,%2001%20Jul%202020%2021:57:08%20GMT	http://gw2.voids.cn/doc/ascended_items/equipment_stats	Z:/Downloads/web/gw2/gw2.voids.cn/doc/ascended_items/equipment_stats.html	(from http://gw2.voids.cn/)
05:57:07	127131/127131	---M-Z	200	added ('OK')	text/html	date:Wed,%2001%20Jul%202020%2021:57:08%20GMT	http://gw2.voids.cn/doc/ascended_items/sigil	Z:/Downloads/web/gw2/gw2.voids.cn/doc/ascended_items/sigil.html	(from http://gw2.voids.cn/)
05:57:07	66253/66253	---M-Z	200	added ('OK')	text/html	date:Wed,%2001%20Jul%202020%2021:57:09%20GMT	http://gw2.voids.cn/doc/ascended_items/rune	Z:/Downloads/web/gw2/gw2.voids.cn/doc/ascended_items/rune.html	(from http://gw2.voids.cn/)
05:57:08	69441/69441	---M-Z	200	added ('OK')	text/html	date:Wed,%2001%20Jul%202020%2021:57:10%20GMT	http://gw2.voids.cn/doc/ascended_items/icebrood_saga_trinket	Z:/Downloads/web/gw2/gw2.voids.cn/doc/ascended_items/icebrood_saga_trinket.html	(from http://gw2.voids.cn/)
05:57:08	67398/67398	---M-Z	200	added ('OK')	text/html	date:Wed,%2001%20Jul%202020%2021:57:10%20GMT	http://gw2.voids.cn/doc/ascended_items/ruriks_engagement_ring	Z:/Downloads/web/gw2/gw2.voids.cn/doc/ascended_items/ruriks_engagement_ring.html	(from http://gw2.voids.cn/)
05:57:09	59753/59753	---M-Z	200	added ('OK')	text/html	date:Wed,%2001%20Jul%202020%2021:57:10%20GMT	http://gw2.voids.cn/doc/ascended_items/vial_of_salt	Z:/Downloads/web/gw2/gw2.voids.cn/doc/ascended_items/vial_of_salt.html	(from http://gw2.voids.cn/)
05:57:09	69120/69120	---M-Z	200	added ('OK')	text/html	date:Wed,%2001%20Jul%202020%2021:57:11%20GMT	http://gw2.voids.cn/doc/ascended_items/old_back	Z:/Downloads/web/gw2/gw2.voids.cn/doc/ascended_items/old_back.html	(from http://gw2.voids.cn/)
05:57:10	100065/100065	---M-Z	200	added ('OK')	text/html	date:Wed,%2001%20Jul%202020%2021:57:11%20GMT	http://gw2.voids.cn/legendary_equipment	Z:/Downloads/web/gw2/gw2.voids.cn/legendary_equipment.html	(from http://gw2.voids.cn/)
05:57:10	55420/55420	---M-Z	200	added ('OK')	text/html	date:Wed,%2001%20Jul%202020%2021:57:12%20GMT	http://gw2.voids.cn/collection	Z:/Downloads/web/gw2/gw2.voids.cn/collection.html	(from http://gw2.voids.cn/)
05:57:12	51434/51434	---M-Z	200	added ('OK')	text/html	date:Wed,%2001%20Jul%202020%2021:57:12%20GMT	http://gw2.voids.cn/fractal	Z:/Downloads/web/gw2/gw2.voids.cn/fractal.html	(from http://gw2.voids.cn/)
05:57:13	53605/53605	---M-Z	200	added ('OK')	text/html	date:Wed,%2001%20Jul%202020%2021:57:15%20GMT	http://gw2.voids.cn/raid	Z:/Downloads/web/gw2/gw2.voids.cn/raid.html	(from http://gw2.voids.cn/)
05:57:13	44870/44870	---M-Z	200	added ('OK')	text/html	date:Wed,%2001%20Jul%202020%2021:57:15%20GMT	http://gw2.voids.cn/strike_mission	Z:/Downloads/web/gw2/gw2.voids.cn/strike_mission.html	(from http://gw2.voids.cn/)
05:57:13	61472/61472	---M-Z	200	added ('OK')	text/html	date:Wed,%2001%20Jul%202020%2021:57:15%20GMT	http://gw2.voids.cn/about	Z:/Downloads/web/gw2/gw2.voids.cn/about.html	(from http://gw2.voids.cn/)
05:57:14	53569/53569	---M-Z	200	added ('OK')	text/html	date:Wed,%2001%20Jul%202020%2021:57:15%20GMT	http://gw2.voids.cn/donate	Z:/Downloads/web/gw2/gw2.voids.cn/donate.html	(from http://gw2.voids.cn/)
05:57:29	95147/95147	---M--	200	added ('OK')	image/jpeg	etag:%22173ab-5a855827d694e%22	http://gw2.voids.cn/images/banner/GW2-banner-01.jpg?v=2020.06.18	Z:/Downloads/web/gw2/gw2.voids.cn/images/banner/GW2-banner-017377.jpg	(from http://gw2.voids.cn/)
05:57:29	71833/71833	---M--	200	added ('OK')	image/jpeg	etag:%2211899-5a74ebf2fe464%22	http://gw2.voids.cn/images/banner/GW2-banner-03.jpg?v=2020.06.18	Z:/Downloads/web/gw2/gw2.voids.cn/images/banner/GW2-banner-037377.jpg	(from http://gw2.voids.cn/)
05:57:30	96116/96116	---M--	200	added ('OK')	image/jpeg	etag:%2217774-5a855986f5da0%22	http://gw2.voids.cn/images/banner/GW2-banner-02.jpg?v=2020.06.18	Z:/Downloads/web/gw2/gw2.voids.cn/images/banner/GW2-banner-027377.jpg	(from http://gw2.voids.cn/)
05:57:30	49200/49200	---M-Z	200	added ('OK')	text/html	date:Wed,%2001%20Jul%202020%2021:57:32%20GMT	http://gw2.voids.cn/doc/page/weihu	Z:/Downloads/web/gw2/gw2.voids.cn/doc/page/weihu.html	(from http://gw2.voids.cn/)
05:57:37	41800/41800	---M--	200	added ('OK')	image/png	etag:%22FuMv95AAOH6yfArfdJhcojlxDrFT%22	http://images.gw2.voids.cn/specsHoverElementalist.png	Z:/Downloads/web/gw2/images.gw2.voids.cn/specsHoverElementalist.png_;%20filename_=utf-8''specsHoverElementalist.png	(from http://gw2.voids.cn/)
05:57:38	164032/164032	---M--	200	added ('OK')	image/jpeg	etag:%22280c0-5a8e8ce9eeea7%22	http://gw2.voids.cn/images/banner/GW2-banner-00.jpg?v=2020.06.18	Z:/Downloads/web/gw2/gw2.voids.cn/images/banner/GW2-banner-007377.jpg	(from http://gw2.voids.cn/)
05:57:39	48526/48526	---M--	200	added ('OK')	image/png	etag:%22FpH3vaKz5Zh9iyjBG5aK2_f5jIFj%22	http://images.gw2.voids.cn/specsHoverWarrior.png	Z:/Downloads/web/gw2/images.gw2.voids.cn/specsHoverWarrior.png_;%20filename_=utf-8''specsHoverWarrior.png	(from http://gw2.voids.cn/)
05:57:39	51383/51383	---M--	200	added ('OK')	image/png	etag:%22FvtTQSBVlTfHAoJxeHobokPJEuBv%22	http://images.gw2.voids.cn/specsHoverRanger.png	Z:/Downloads/web/gw2/images.gw2.voids.cn/specsHoverRanger.png_;%20filename_=utf-8''specsHoverRanger.png	(from http://gw2.voids.cn/)
05:57:45	47303/47303	---M--	200	added ('OK')	image/png	etag:%22FuBU8N0yJymgtmKPS8uXa_Z6BpmW%22	http://images.gw2.voids.cn/specsHoverNecro.png	Z:/Downloads/web/gw2/images.gw2.voids.cn/specsHoverNecro.png_;%20filename_=utf-8''specsHoverNecro.png	(from http://gw2.voids.cn/)
05:57:46	46476/46476	---M--	200	added ('OK')	image/png	etag:%22Fs-hngHoVurM6kLx5co_wFP3moFs%22	http://images.gw2.voids.cn/specsHoverGuardian.png	Z:/Downloads/web/gw2/images.gw2.voids.cn/specsHoverGuardian.png_;%20filename_=utf-8''specsHoverGuardian.png	(from http://gw2.voids.cn/)
05:57:46	42961/42961	---M--	200	added ('OK')	image/png	etag:%22FiBnbT7aYrCZqdHND8UCzhLoFDpe%22	http://images.gw2.voids.cn/specsHoverThief.png	Z:/Downloads/web/gw2/images.gw2.voids.cn/specsHoverThief.png_;%20filename_=utf-8''specsHoverThief.png	(from http://gw2.voids.cn/)
